school_id,school_name,district,mandal,school_type,area_type,enrollment,boys,girls,teachers,toilets,electricity,internet,playground,library,digital_classrooms,attendance_rate,dropout_rate,infrastructure_score,teacher_student_ratio
TS001,Residential School Utnoor,Adilabad,Utnoor,Government,Rural,963,434,529,18,Yes,Yes,Yes,Yes,No,6,94.9,1.0,89,53.5
TS002,KGBV Chevella,Rangareddy,Chevella,Government,Urban,1220,582,638,42,Yes,Yes,Yes,Yes,Yes,4,81.3,2.7,96,29.0
TS003,Telangana Model School Bodhan,Nizamabad,Bodhan,Government,Rural,275,142,133,35,Yes,Yes,Yes,Yes,No,7,95.1,1.0,90,7.9
TS004,KGBV Huzurabad,Karimnagar,Huzurabad,Government,Rural,1094,522,572,55,Yes,Yes,Yes,Yes,Yes,10,75.1,3.5,100,19.9
TS005,ZPHS Wyra,Khammam,Wyra,Aided,Urban,584,299,285,46,Yes,Yes,Yes,Yes,Yes,1,85.5,2.3,92,12.7
TS006,ZPHS Shamshabad,Rangareddy,Shamshabad,Government,Urban,1081,525,556,12,Yes,Yes,Yes,Yes,Yes,7,88.7,1.0,100,90.1
TS007,Govt High School Huzurabad,Karimnagar,Huzurabad,Government,Urban,327,160,167,14,Yes,Yes,No,No,No,7,75.8,5.8,70,23.4
TS008,Residential School Boath,Adilabad,Boath,Government,Urban,622,305,317,14,Yes,Yes,Yes,Yes,No,10,77.7,3.4,95,44.4
TS009,Govt High School Devarakonda,Nalgonda,Devarakonda,Government,Urban,885,430,455,45,Yes,Yes,Yes,Yes,Yes,10,91.6,1.0,100,19.7
TS010,Residential School Jammikunta,Karimnagar,Jammikunta,Government,Rural,979,519,460,44,Yes,Yes,No,Yes,No,0,79.9,5.2,68,22.2
TS011,Residential School Boath,Adilabad,Boath,Government,Rural,868,403,465,47,Yes,Yes,No,Yes,Yes,3,90.8,2.1,82,18.5
TS012,ZPHS Palair,Khammam,Palair,Government,Rural,908,463,445,44,Yes,Yes,Yes,Yes,Yes,2,91.7,1.1,93,20.6
TS013,MJPTBCWREIS Parkal,Warangal,Parkal,Government,Rural,616,312,304,34,Yes,Yes,No,Yes,Yes,1,82.9,3.7,80,18.1
TS014,MJPTBCWREIS Chevella,Rangareddy,Chevella,Government,Rural,1052,561,491,30,Yes,Yes,Yes,Yes,Yes,5,74.9,3.7,98,35.1
TS015,MJPTBCWREIS Secunderabad,Hyderabad,Secunderabad,Government,Rural,1247,646,601,53,Yes,Yes,Yes,Yes,Yes,4,82.8,2.4,96,23.5
TS016,KGBV Suryapet,Nalgonda,Suryapet,Government,Rural,1421,733,688,16,Yes,Yes,Yes,No,Yes,8,95.4,1.0,94,88.8
TS017,Telangana Model School Armoor,Nizamabad,Armoor,Government,Urban,375,175,200,43,Yes,Yes,Yes,Yes,No,8,81.7,2.9,92,8.7
TS018,Residential School Parkal,Warangal,Parkal,Government,Urban,1440,716,724,46,Yes,Yes,Yes,Yes,Yes,7,74.5,3.6,100,31.3
TS019,MJPTBCWREIS Narayanpet,Mahabubnagar,Narayanpet,Government,Urban,1394,765,629,35,Yes,Yes,Yes,Yes,No,0,86.4,3.0,80,39.8
TS020,KGBV Kothagudem,Khammam,Kothagudem,Aided,Urban,1013,525,488,52,Yes,Yes,No,No,Yes,6,87.0,3.0,79,19.5
TS021,KGBV Boath,Adilabad,Boath,Government,Urban,1005,463,542,31,Yes,Yes,Yes,Yes,Yes,7,76.1,3.3,100,32.4
TS022,ZPHS Palair,Khammam,Palair,Private,Urban,1269,575,694,28,Yes,Yes,Yes,Yes,Yes,2,86.5,2.0,93,45.3
TS023,KGBV Wyra,Khammam,Wyra,Private,Rural,416,200,216,31,Yes,Yes,Yes,Yes,Yes,5,87.8,1.4,98,13.4
TS024,KGBV Shadnagar,Mahabubnagar,Shadnagar,Aided,Rural,456,207,249,20,Yes,Yes,Yes,Yes,Yes,4,97.2,1.0,96,22.8
TS025,Residential School Jammikunta,Karimnagar,Jammikunta,Private,Urban,1401,680,721,33,Yes,Yes,Yes,Yes,Yes,1,74.5,4.2,92,42.5
TS026,Residential School Armoor,Nizamabad,Armoor,Government,Urban,1191,582,609,22,Yes,Yes,Yes,No,Yes,3,90.0,1.9,86,54.1
TS027,Govt High School Shamshabad,Rangareddy,Shamshabad,Government,Urban,1426,749,677,42,Yes,Yes,Yes,Yes,Yes,2,96.3,1.0,93,34.0
TS028,Telangana Model School Toopran,Medak,Toopran,Government,Urban,661,334,327,27,Yes,Yes,Yes,No,Yes,8,89.0,1.5,94,24.5
TS029,MJPTBCWREIS Nirmal,Adilabad,Nirmal,Private,Urban,1273,699,574,28,Yes,Yes,Yes,Yes,Yes,3,86.7,1.9,94,45.5
TS030,Telangana Model School Parkal,Warangal,Parkal,Government,Urban,1204,597,607,47,Yes,Yes,No,Yes,Yes,1,78.0,4.6,80,25.6
TS031,Govt High School Amberpet,Hyderabad,Amberpet,Government,Rural,1393,755,638,30,Yes,Yes,No,Yes,Yes,0,92.9,2.0,78,46.4
TS032,KGBV Utnoor,Adilabad,Utnoor,Aided,Rural,461,214,247,42,Yes,Yes,No,No,Yes,5,78.3,4.7,78,11.0
TS033,Telangana Model School Shadnagar,Mahabubnagar,Shadnagar,Private,Urban,980,443,537,34,Yes,Yes,Yes,No,Yes,4,77.5,4.0,88,28.8
TS034,KGBV Boath,Adilabad,Boath,Aided,Rural,1373,690,683,45,Yes,No,Yes,Yes,Yes,1,94.0,1.5,82,30.5
TS035,MJPTBCWREIS Kothagudem,Khammam,Kothagudem,Aided,Rural,1090,587,503,33,Yes,Yes,No,Yes,Yes,0,95.4,1.6,78,33.0
TS036,ZPHS Boath,Adilabad,Boath,Government,Rural,355,162,193,33,Yes,Yes,Yes,Yes,Yes,3,91.9,1.0,94,10.8
TS037,MJPTBCWREIS Kothagudem,Khammam,Kothagudem,Government,Rural,520,264,256,41,Yes,Yes,No,Yes,Yes,6,78.6,3.9,87,12.7
TS038,MJPTBCWREIS Jadcherla,Mahabubnagar,Jadcherla,Government,Urban,990,451,539,49,Yes,No,No,No,Yes,10,93.5,2.2,75,20.2
