district,year,enrollment,dropout_rate,digital_access,teacher_ratio,girls_enrollment
Hyderabad,2020,55816,11.9,51,27.6,27338
Hyderabad,2021,55054,12.4,47,36.4,26484
Hyderabad,2022,58378,8.5,79,29.9,27885
Hyderabad,2023,52698,8.5,79,33.6,25254
Hyderabad,2024,54485,8.6,78,28.7,25851
Warangal,2020,34982,10.9,59,30.5,16636
Warangal,2021,40010,8.0,83,33.2,19980
Warangal,2022,35247,7.8,85,34.8,17327
Warangal,2023,33530,9.7,69,30.5,16627
Warangal,2024,38602,11.9,51,26.3,18565
Karimnagar,2020,32070,12.5,46,30.6,16028
Karimnagar,2021,34512,10.1,66,30.8,17247
Karimnagar,2022,34306,11.5,54,35.4,16301
Karimnagar,2023,31556,10.9,59,31.2,15100
Karimnagar,2024,35874,12.4,47,35.3,17220
Nizamabad,2020,80845,9.0,75,29.4,39685
Nizamabad,2021,81238,8.2,82,29.4,39692
Nizamabad,2022,84585,8.8,77,27.7,42154
Nizamabad,2023,85840,9.0,75,34.8,42792
Nizamabad,2024,83900,12.5,46,27.2,39937
Khammam,2020,91014,7.8,85,25.3,43449
Khammam,2021,90771,10.3,64,25.7,45356
Khammam,2022,86509,8.8,77,37.7,42297
Khammam,2023,89849,7.1,91,35.3,43598
Khammam,2024,88226,9.6,70,24.2,41807
Adilabad,2020,35133,7.4,88,33.3,17544
Adilabad,2021,33253,10.1,66,34.3,16120
Adilabad,2022,36717,8.0,83,29.7,17775
Adilabad,2023,40844,10.3,64,35.1,19870
Adilabad,2024,35037,7.9,84,36.4,16481
Mahabubnagar,2020,83526,7.8,85,35.2,40123
Mahabubnagar,2021,79478,6.6,95,32.2,38667
Mahabubnagar,2022,82120,11.2,57,25.4,39331
Mahabubnagar,2023,86702,7.8,85,31.7,41295
Mahabubnagar,2024,84307,6.6,95,37.5,40772
Medak,2020,54566,6.7,94,28.1,26672
Medak,2021,48304,9.0,75,26.4,23167
Medak,2022,52110,8.3,81,29.2,24844
Medak,2023,48691,8.2,82,29.1,24031
Medak,2024,47356,11.3,56,34.6,23329
Rangareddy,2020,83188,8.0,83,25.7,39466
Rangareddy,2021,87627,8.6,78,28.6,41875
Rangareddy,2022,86013,8.0,83,29.3,41114
Rangareddy,2023,90446,8.6,78,30.7,44851
Rangareddy,2024,86587,7.7,86,34.9,42314
Nalgonda,2020,85020,7.8,85,25.2,41874
Nalgonda,2021,88213,7.0,92,28.8,43726
Nalgonda,2022,88387,7.7,86,26.3,42852
Nalgonda,2023,86114,9.1,74,30.3,41764
Nalgonda,2024,84436,11.8,52,25.0,40299
